N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1555;0,8154;352;352;1,0000;0,1846
2;1907;1173;0,6151;734;734;1,0000;0,3849
3;1907;1088;0,5705;819;819;1,0000;0,4295
4;1907;1033;0,5417;874;874;1,0000;0,4583
5;1907;884;0,4636;1023;1023;1,0000;0,5364
10;1907;628;0,3293;1279;1279;1,0000;0,6707
15;1907;535;0,2805;1372;1372;1,0000;0,7195
20;1907;454;0,2381;1453;1453;1,0000;0,7619
25;1907;424;0,2223;1483;1483;1,0000;0,7777
30;1907;391;0,2050;1516;1516;1,0000;0,7950
35;1907;370;0,1940;1537;1537;1,0000;0,8060
40;1907;360;0,1888;1547;1547;1,0000;0,8112
45;1907;330;0,1730;1577;1577;1,0000;0,8270
50;1907;304;0,1594;1603;1603;1,0000;0,8406
60;1907;256;0,1342;1651;1651;1,0000;0,8658
70;1907;236;0,1238;1671;1671;1,0000;0,8762
80;1907;222;0,1164;1685;1685;1,0000;0,8836
90;1907;199;0,1044;1708;1708;1,0000;0,8956
100;1907;189;0,0991;1718;1718;1,0000;0,9009
200;1907;109;0,0572;1798;1798;1,0000;0,9428
