N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;897;0,4704;966;1010;0,9564;0,5066
2;1907;667;0,3498;1193;1240;0,9621;0,6256
3;1907;489;0,2564;1387;1418;0,9781;0,7273
4;1907;395;0,2071;1480;1512;0,9788;0,7761
5;1907;354;0,1856;1521;1553;0,9794;0,7976
10;1907;224;0,1175;1655;1683;0,9834;0,8679
15;1907;155;0,0813;1726;1752;0,9852;0,9051
20;1907;115;0,0603;1772;1792;0,9888;0,9292
25;1907;91;0,0477;1799;1816;0,9906;0,9434
30;1907;74;0,0388;1814;1833;0,9896;0,9512
35;1907;26;0,0136;1815;1881;0,9649;0,9518
40;1907;9;0,0047;1815;1898;0,9563;0,9518
45;1907;8;0,0042;1826;1899;0,9616;0,9575
50;1907;6;0,0031;1829;1901;0,9621;0,9591
60;1907;0;0,0000;1860;1907;0,9754;0,9754
70;1907;0;0,0000;1843;1907;0,9664;0,9664
80;1907;0;0,0000;1849;1907;0,9696;0,9696
90;1907;0;0,0000;1857;1907;0,9738;0,9738
100;1907;0;0,0000;1854;1907;0,9722;0,9722
200;1907;0;0,0000;1850;1907;0,9701;0,9701
