N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1850;0,9701;57;57;1,0000;0,0299
2;1907;1801;0,9444;106;106;1,0000;0,0556
3;1907;1767;0,9266;140;140;1,0000;0,0734
4;1907;1754;0,9198;153;153;1,0000;0,0802
5;1907;1744;0,9145;163;163;1,0000;0,0855
10;1907;1675;0,8783;232;232;1,0000;0,1217
15;1907;1624;0,8516;283;283;1,0000;0,1484
20;1907;1578;0,8275;329;329;1,0000;0,1725
25;1907;1532;0,8034;375;375;1,0000;0,1966
30;1907;1510;0,7918;397;397;1,0000;0,2082
35;1907;1475;0,7735;432;432;1,0000;0,2265
40;1907;1450;0,7604;457;457;1,0000;0,2396
45;1907;1438;0,7541;469;469;1,0000;0,2459
50;1907;1417;0,7431;490;490;1,0000;0,2569
60;1907;1372;0,7195;535;535;1,0000;0,2805
70;1907;1333;0,6990;574;574;1,0000;0,3010
80;1907;1294;0,6786;613;613;1,0000;0,3214
90;1907;1248;0,6544;659;659;1,0000;0,3456
100;1907;1224;0,6418;683;683;1,0000;0,3582
200;1907;998;0,5233;909;909;1,0000;0,4767
