N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;1907;1568;0,8222;336;339;0,9912;0,1762
2;1907;1359;0,7126;545;548;0,9945;0,2858
3;1907;1259;0,6602;645;648;0,9954;0,3382
4;1907;1092;0,5726;812;815;0,9963;0,4258
5;1907;1016;0,5328;888;891;0,9966;0,4657
10;1907;804;0,4216;1098;1103;0,9955;0,5758
15;1907;657;0,3445;1245;1250;0,9960;0,6529
20;1907;590;0,3094;1312;1317;0,9962;0,6880
25;1907;533;0,2795;1369;1374;0,9964;0,7179
30;1907;502;0,2632;1400;1405;0,9964;0,7341
35;1907;476;0,2496;1426;1431;0,9965;0,7478
40;1907;446;0,2339;1456;1461;0,9966;0,7635
45;1907;430;0,2255;1472;1477;0,9966;0,7719
50;1907;380;0,1993;1522;1527;0,9967;0,7981
60;1907;339;0,1778;1563;1568;0,9968;0,8196
70;1907;315;0,1652;1587;1592;0,9969;0,8322
80;1907;295;0,1547;1607;1612;0,9969;0,8427
90;1907;272;0,1426;1630;1635;0,9969;0,8547
100;1907;264;0,1384;1638;1643;0,9970;0,8589
200;1907;142;0,0745;1759;1765;0,9966;0,9224
