N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2264;0,8185;499;502;0,9940;0,1804
2;2766;1796;0,6493;948;970;0,9773;0,3427
3;2766;1449;0,5239;1280;1317;0,9719;0,4628
4;2766;1096;0,3962;1608;1670;0,9629;0,5813
5;2766;977;0,3532;1730;1789;0,9670;0,6255
10;2766;743;0,2686;1962;2023;0,9698;0,7093
15;2766;594;0,2148;2103;2172;0,9682;0,7603
20;2766;404;0,1461;2303;2362;0,9750;0,8326
25;2766;330;0,1193;2377;2436;0,9758;0,8594
30;2766;309;0,1117;2402;2457;0,9776;0,8684
35;2766;271;0,0980;2443;2495;0,9792;0,8832
40;2766;239;0,0864;2473;2527;0,9786;0,8941
45;2766;218;0,0788;2499;2548;0,9808;0,9035
50;2766;193;0,0698;2518;2573;0,9786;0,9103
60;2766;136;0,0492;2560;2630;0,9734;0,9255
70;2766;124;0,0448;2570;2642;0,9727;0,9291
80;2766;107;0,0387;2594;2659;0,9756;0,9378
90;2766;91;0,0329;2615;2675;0,9776;0,9454
100;2766;67;0,0242;2603;2699;0,9644;0,9411
200;2766;0;0,0000;2494;2766;0,9017;0,9017
