N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2766;2157;0,7798;579;609;0,9507;0,2093
2;2766;1540;0,5568;1169;1226;0,9535;0,4226
3;2766;1300;0,4700;1407;1466;0,9598;0,5087
4;2766;1040;0,3760;1650;1726;0,9560;0,5965
5;2766;834;0,3015;1850;1932;0,9576;0,6688
10;2766;694;0,2509;1989;2072;0,9599;0,7191
15;2766;0;0,0000;2398;2766;0,8670;0,8670
20;2766;0;0,0000;2447;2766;0,8847;0,8847
25;2766;0;0,0000;2479;2766;0,8962;0,8962
30;2766;0;0,0000;2473;2766;0,8941;0,8941
35;2766;0;0,0000;2443;2766;0,8832;0,8832
40;2766;0;0,0000;2494;2766;0,9017;0,9017
45;2766;0;0,0000;2493;2766;0,9013;0,9013
50;2766;0;0,0000;2510;2766;0,9074;0,9074
60;2766;0;0,0000;2544;2766;0,9197;0,9197
70;2766;0;0,0000;2528;2766;0,9140;0,9140
80;2766;0;0,0000;2545;2766;0,9201;0,9201
90;2766;0;0,0000;2501;2766;0,9042;0,9042
100;2766;0;0,0000;2507;2766;0,9064;0,9064
200;2766;0;0,0000;2568;2766;0,9284;0,9284
