N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2263;520;0,2298;853;1743;0,4894;0,3769
2;2263;304;0,1343;1010;1959;0,5156;0,4463
3;2263;221;0,0977;1065;2042;0,5215;0,4706
4;2263;141;0,0623;1116;2122;0,5259;0,4932
5;2263;99;0,0437;1194;2164;0,5518;0,5276
10;2263;17;0,0075;1216;2246;0,5414;0,5373
15;2263;5;0,0022;1220;2258;0,5403;0,5391
20;2263;1;0,0004;1248;2262;0,5517;0,5515
25;2263;0;0,0000;1245;2263;0,5502;0,5502
30;2263;0;0,0000;1250;2263;0,5524;0,5524
35;2263;0;0,0000;1289;2263;0,5696;0,5696
40;2263;0;0,0000;1305;2263;0,5767;0,5767
45;2263;0;0,0000;1300;2263;0,5745;0,5745
50;2263;0;0,0000;1305;2263;0,5767;0,5767
60;2263;0;0,0000;1321;2263;0,5837;0,5837
70;2263;0;0,0000;1328;2263;0,5868;0,5868
80;2263;0;0,0000;1336;2263;0,5904;0,5904
90;2263;0;0,0000;1345;2263;0,5943;0,5943
100;2263;0;0,0000;1341;2263;0,5926;0,5926
200;2263;0;0,0000;1379;2263;0,6094;0,6094
