N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2263;1884;0,8325;3;379;0,0079;0,0013
2;2263;1784;0,7883;5;479;0,0104;0,0022
3;2263;1711;0,7561;6;552;0,0109;0,0027
4;2263;1653;0,7304;8;610;0,0131;0,0035
5;2263;1588;0,7017;8;675;0,0119;0,0035
10;2263;1365;0,6032;9;898;0,0100;0,0040
15;2263;1232;0,5444;9;1031;0,0087;0,0040
20;2263;1141;0,5042;11;1122;0,0098;0,0049
25;2263;1037;0,4582;11;1226;0,0090;0,0049
30;2263;993;0,4388;12;1270;0,0094;0,0053
35;2263;942;0,4163;12;1321;0,0091;0,0053
40;2263;896;0,3959;12;1367;0,0088;0,0053
45;2263;858;0,3791;12;1405;0,0085;0,0053
50;2263;825;0,3646;12;1438;0,0083;0,0053
60;2263;774;0,3420;12;1489;0,0081;0,0053
70;2263;727;0,3213;12;1536;0,0078;0,0053
80;2263;683;0,3018;12;1580;0,0076;0,0053
90;2263;635;0,2806;13;1628;0,0080;0,0057
100;2263;608;0,2687;13;1655;0,0079;0,0057
200;2263;447;0,1975;13;1816;0,0072;0,0057
