N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;2263;990;0,4375;3;1273;0,0024;0,0013
2;2263;637;0,2815;25;1626;0,0154;0,0110
3;2263;561;0,2479;28;1702;0,0165;0,0124
4;2263;504;0,2227;28;1759;0,0159;0,0124
5;2263;343;0,1516;28;1920;0,0146;0,0124
10;2263;118;0,0521;26;2145;0,0121;0,0115
15;2263;29;0,0128;25;2234;0,0112;0,0110
20;2263;1;0,0004;31;2262;0,0137;0,0137
25;2263;0;0,0000;29;2263;0,0128;0,0128
30;2263;0;0,0000;30;2263;0,0133;0,0133
35;2263;0;0,0000;30;2263;0,0133;0,0133
40;2263;0;0,0000;28;2263;0,0124;0,0124
45;2263;0;0,0000;26;2263;0,0115;0,0115
50;2263;0;0,0000;30;2263;0,0133;0,0133
60;2263;0;0,0000;34;2263;0,0150;0,0150
70;2263;0;0,0000;34;2263;0,0150;0,0150
80;2263;0;0,0000;32;2263;0,0141;0,0141
90;2263;0;0,0000;32;2263;0,0141;0,0141
100;2263;0;0,0000;34;2263;0,0150;0,0150
200;2263;0;0,0000;38;2263;0,0168;0,0168
