N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;5567;0,8790;766;766;1,0000;0,1210
2;6333;4946;0,7810;1387;1387;1,0000;0,2190
3;6333;4884;0,7712;1449;1449;1,0000;0,2288
4;6333;4761;0,7518;1572;1572;1,0000;0,2482
5;6333;4733;0,7474;1600;1600;1,0000;0,2526
10;6333;4682;0,7393;1651;1651;1,0000;0,2607
15;6333;4614;0,7286;1719;1719;1,0000;0,2714
20;6333;4561;0,7202;1772;1772;1,0000;0,2798
25;6333;4500;0,7106;1833;1833;1,0000;0,2894
30;6333;4454;0,7033;1879;1879;1,0000;0,2967
35;6333;4400;0,6948;1933;1933;1,0000;0,3052
40;6333;4335;0,6845;1998;1998;1,0000;0,3155
45;6333;4291;0,6776;2042;2042;1,0000;0,3224
50;6333;4245;0,6703;2088;2088;1,0000;0,3297
60;6333;4162;0,6572;2171;2171;1,0000;0,3428
70;6333;4103;0,6479;2230;2230;1,0000;0,3521
80;6333;4049;0,6393;2284;2284;1,0000;0,3607
90;6333;3982;0,6288;2351;2351;1,0000;0,3712
100;6333;3939;0,6220;2394;2394;1,0000;0,3780
200;6333;3579;0,5651;2754;2754;1,0000;0,4349
