N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;5932;0,9367;224;401;0,5586;0,0354
2;6333;5922;0,9351;234;411;0,5693;0,0369
3;6333;5905;0,9324;249;428;0,5818;0,0393
4;6333;5895;0,9308;258;438;0,5890;0,0407
5;6333;5885;0,9293;268;448;0,5982;0,0423
10;6333;5846;0,9231;306;487;0,6283;0,0483
15;6333;5822;0,9193;329;511;0,6438;0,0520
20;6333;5790;0,9143;359;543;0,6611;0,0567
25;6333;5761;0,9097;383;572;0,6696;0,0605
30;6333;5747;0,9075;397;586;0,6775;0,0627
35;6333;5736;0,9057;408;597;0,6834;0,0644
40;6333;5704;0,9007;438;629;0,6963;0,0692
45;6333;5685;0,8977;457;648;0,7052;0,0722
50;6333;5672;0,8956;469;661;0,7095;0,0741
60;6333;5648;0,8918;493;685;0,7197;0,0778
70;6333;5618;0,8871;522;715;0,7301;0,0824
80;6333;5579;0,8809;560;754;0,7427;0,0884
90;6333;5544;0,8754;594;789;0,7529;0,0938
100;6333;5511;0,8702;624;822;0,7591;0,0985
200;6333;5241;0,8276;884;1092;0,8095;0,1396
