N;numero arquivos;Não Encontrados;% Não Encontrados;Acertos em documentos definidos;Total Definido;Acurácia em Definidos;Acurácia Global
1;6333;4596;0,7257;1486;1737;0,8555;0,2346
2;6333;3938;0,6218;1810;2395;0,7557;0,2858
3;6333;3365;0,5313;2211;2968;0,7449;0,3491
4;6333;1258;0,1986;4376;5075;0,8623;0,6910
5;6333;1106;0,1746;4555;5227;0,8714;0,7192
10;6333;500;0,0790;5286;5833;0,9062;0,8347
15;6333;269;0,0425;5612;6064;0,9255;0,8862
20;6333;110;0,0174;5688;6223;0,9140;0,8982
25;6333;90;0,0142;5734;6243;0,9185;0,9054
30;6333;76;0,0120;5783;6257;0,9242;0,9132
35;6333;72;0,0114;5800;6261;0,9264;0,9158
40;6333;71;0,0112;5811;6262;0,9280;0,9176
45;6333;8;0,0013;5916;6325;0,9353;0,9342
50;6333;6;0,0009;6000;6327;0,9483;0,9474
60;6333;2;0,0003;5962;6331;0,9417;0,9414
70;6333;1;0,0002;5983;6332;0,9449;0,9447
80;6333;1;0,0002;5998;6332;0,9473;0,9471
90;6333;1;0,0002;5998;6332;0,9473;0,9471
100;6333;1;0,0002;6007;6332;0,9487;0,9485
200;6333;0;0,0000;6032;6333;0,9525;0,9525
