sugar;-0,154821926;473;22;22;sugar;2,674861141;2,316254205;;;;1;acq
buffer;0;207;3;3;cocoa;2,315970345;2,315970345;;;;2;bop
ounc;0;176;11;11;gold;2,245512668;2,245512668;;;;3;cocoa
ct;0;167;9;9;earn;2,222716471;2,222716471;;;;4;coffee
loss;0;156;9;9;earn;2,193124598;2,193124598;;;;5;corn
ship;0;150;20;20;ship;2,176091259;2,176091259;;;;6;cpi
coffe;-0,22720364;466;4;4;coffee;2,668385917;2,174362778;;;;7;crude
m-;0;144;16;16;money-supply;2,158362492;2,158362492;;;;8;dlr
ico;0;143;4;4;coffee;2,155336037;2,155336037;;;;9;earn
ton;0;139;11;11;gold;2,1430148;2,1430148;;;;10;gnp
gold;-0,248102775;442;11;11;gold;2,645422269;2,119554834;;;;11;gold
palm;0;113;24;24;veg-oil;2,053078443;2,053078443;;;;12;grain
bpd;0;111;7;7;crude;2,045322979;2,045322979;;;;13;interest
beef;0;108;14;14;livestock;2,033423755;2,033423755;;;;14;livestock
vs;-0,245464461;329;9;9;earn;2,517195898;2,021090105;;;;15;money-fx
icco;0;101;3;3;cocoa;2,004321374;2,004321374;;;;16;money-supply
gdp;0;98;10;10;gnp;1,991226076;1,991226076;;;;17;nat-gas
shr;0;95;9;9;earn;1,977723605;1,977723605;;;;18;oilseed
gnp;0;90;10;10;gnp;1,954242509;1,954242509;;;;19;reserves
profit;0;87;9;9;earn;1,939519253;1,939519253;;;;20;ship
opec;0;81;7;7;crude;1,908485019;1,908485019;;;;21;soybean
veget;0;81;24;24;veg-oil;1,908485019;1,908485019;;;;22;sugar
gross;0;79;10;10;gnp;1,897627091;1,897627091;;;;23;trade
cocoa;-0,31793678;310;3;3;cocoa;2,491361694;1,890349925;;;;24;veg-oil
rule;0;73;3;3;cocoa;1,86332286;1,86332286;;;;25;wheat
port;0;71;20;20;ship;1,851258349;1,851258349;;;;;
cattl;0;70;14;14;livestock;1,84509804;1,84509804;;;;;
meat;0;70;14;14;livestock;1,84509804;1,84509804;;;;;
strike;0;70;20;20;ship;1,84509804;1,84509804;;;;;
white;0;69;22;22;sugar;1,838849091;1,838849091;;;;;
m;0;68;16;16;money-supply;1,832508913;1,832508913;;;;;
index;0;63;6;6;cpi;1,799340549;1,799340549;;;;;
colombia;0;62;4;4;coffee;1,792391689;1,792391689;;;;;
qtr;0;61;9;9;earn;1,785329835;1,785329835;;;;;
real;0;61;10;10;gnp;1,785329835;1,785329835;;;;;
mine;-0,329938438;225;11;11;gold;2,352182518;1,768640149;;;;;
or;0;57;11;11;gold;1,755874856;1,755874856;;;;;
silver;0;56;11;11;gold;1,748188027;1,748188027;;;;;
rev;0;55;9;9;earn;1,740362689;1,740362689;;;;;
grow;0;53;10;10;gnp;1,72427587;1,72427587;;;;;
quotas;0;51;4;4;coffee;1,707570176;1,707570176;;;;;
interven;0;50;8;8;dlr;1,698970004;1,698970004;;;;;
grade;0;49;11;11;gold;1,69019608;1,69019608;;;;;
pork;0;49;14;14;livestock;1,69019608;1,69019608;;;;;
coin;0;48;11;11;gold;1,681241237;1,681241237;;;;;
prime;0;47;13;13;interest;1,672097858;1,672097858;;;;;
iran;0;47;20;20;ship;1,672097858;1,672097858;;;;;
fat;0;47;24;24;veg-oil;1,672097858;1,672097858;;;;;
acquir;0;45;1;1;acq;1,653212514;1,653212514;;;;;
narrow;0;45;2;2;bop;1,653212514;1,653212514;;;;;
negoti;0;45;4;4;coffee;1,653212514;1,653212514;;;;;
point;0;43;13;13;interest;1,633468456;1,633468456;;;;;
ibc;0;42;4;4;coffee;1,62324929;1,62324929;;;;;
head;0;42;14;14;livestock;1,62324929;1,62324929;;;;;
taiwan;0;42;19;19;reserves;1,62324929;1,62324929;;;;;
rebat;0;42;22;22;sugar;1,62324929;1,62324929;;;;;
beet;0;42;22;22;sugar;1,62324929;1,62324929;;;;;
ga;-0,551220031;329;17;17;nat-gas;2,517195898;1,622720083;;;;;
brazilian;0;41;4;4;coffee;1,612783857;1,612783857;;;;;
dauster;0;41;4;4;coffee;1,612783857;1,612783857;;;;;
privat;0;40;10;10;gnp;1,602059991;1,602059991;;;;;
gatt;0;40;23;23;trade;1,602059991;1,602059991;;;;;
miner;0;39;11;11;gold;1,591064607;1,591064607;;;;;
vessel;0;39;20;20;ship;1,591064607;1,591064607;;;;;
th;0;38;9;9;earn;1,579783597;1,579783597;;;;;
assai;0;38;11;11;gold;1,579783597;1,579783597;;;;;
hog;0;37;14;14;livestock;1,568201724;1,568201724;;;;;
data;0;37;16;16;money-supply;1,568201724;1,568201724;;;;;
acquisit;0;36;1;1;acq;1,556302501;1,556302501;;;;;
venezuela;0;36;7;7;crude;1,556302501;1,556302501;;;;;
fiscal;0;36;10;10;gnp;1,556302501;1,556302501;;;;;
slaughter;0;35;14;14;livestock;1,544068044;1,544068044;;;;;
cane;0;35;22;22;sugar;1,544068044;1,544068044;;;;;
registr;0;34;4;4;coffee;1,531478917;1,531478917;;;;;
economy;0;34;10;10;gnp;1,531478917;1,531478917;;;;;
tariff;0;34;23;23;trade;1,531478917;1,531478917;;;;;
ecuador;0;33;7;7;crude;1,51851394;1,51851394;;;;;
dividend;0;33;9;9;earn;1,51851394;1,51851394;;;;;
merger;0;32;1;1;acq;1,505149978;1,505149978;;;;;
refin;0;32;7;7;crude;1,505149978;1,505149978;;;;;
refineri;0;32;7;7;crude;1,505149978;1,505149978;;;;;
lend;0;32;13;13;interest;1,505149978;1,505149978;;;;;
tanker;0;32;20;20;ship;1,505149978;1,505149978;;;;;
freight;0;32;20;20;ship;1,505149978;1,505149978;;;;;
nakason;0;32;23;23;trade;1,505149978;1,505149978;;;;;
nil;0;32;24;24;veg-oil;1,505149978;1,505149978;;;;;
yen;-0,563563425;223;8;8;dlr;2,348304863;1,501892936;;;;;
stake;0;31;1;1;acq;1,491361694;1,491361694;;;;;
reagan;0;31;23;23;trade;1,491361694;1,491361694;;;;;
chip;0;31;23;23;trade;1,491361694;1,491361694;;;;;
open;0;31;23;23;trade;1,491361694;1,491361694;;;;;
mm;0;30;18;18;oilseed;1,477121255;1,477121255;;;;;
missil;0;30;20;20;ship;1,477121255;1,477121255;;;;;
differenti;0;29;3;3;cocoa;1,462397998;1,462397998;;;;;
bags;0;29;4;4;coffee;1,462397998;1,462397998;;;;;
div;0;29;9;9;earn;1,462397998;1,462397998;;;;;
statement;0;29;16;16;money-supply;1,462397998;1,462397998;;;;;
seamen;0;29;20;20;ship;1,462397998;1,462397998;;;;;
call;0;29;23;23;trade;1,462397998;1,462397998;;;;;
third;0;28;2;2;bop;1,447158031;1,447158031;;;;;
differ;0;28;3;3;cocoa;1,447158031;1,447158031;;;;;
befor;0;28;4;4;coffee;1,447158031;1,447158031;;;;;
saudi;0;28;7;7;crude;1,447158031;1,447158031;;;;;
miyazawa;0;28;8;8;dlr;1,447158031;1,447158031;;;;;
short;0;28;11;11;gold;1,447158031;1,447158031;;;;;
properti;0;28;11;11;gold;1,447158031;1,447158031;;;;;
